"排序","操作系统","浏览量占比",
"0","Win 7","61.83%",
"1","Win XP","17.57%",
"2","Win 10","11.22%",
"3","Win 8","4.18%",
"4","其他","5.2%",

"Win 7操作系统2017.07.01~2017.09.30浏览量占比"
时间,浏览量占比
="2017.08.09","3.94%",
="2017.08.10","3.93%",
="2017.08.11","3.92%",
="2017.08.12","4.12%",
="2017.08.13","4.28%",
="2017.08.14","3.88%",
="2017.08.15","3.81%",
="2017.08.16","3.91%",
="2017.08.17","3.91%",
="2017.08.18","3.89%",
="2017.08.19","4.16%",
="2017.08.20","4.27%",
="2017.08.21","3.96%",
="2017.08.22","3.98%",
="2017.08.23","3.98%",
="2017.08.24","3.88%",
="2017.08.25","3.97%",
="2017.08.26","4.01%",
="2017.08.27","4.20%",
="2017.08.28","0.00%",
="2017.08.29","3.96%",
="2017.08.30","3.93%",
="2017.08.31","3.98%",
="2017.09.01","4.10%",
="2017.09.02","4.22%",
="2017.09.03","4.55%",
="2017.09.04","4.22%",
="2017.09.05","4.39%",
="2017.09.06","4.28%",
="2017.09.07","4.37%",
="2017.09.08","4.43%",
="2017.09.09","4.65%",
="2017.09.10","5.00%",
="2017.09.11","4.56%",
="2017.09.12","4.71%",
="2017.09.13","4.81%",
="2017.09.14","4.65%",
="2017.09.15","4.61%",
="2017.09.16","4.83%",
="2017.09.17","4.97%",
="2017.09.18","0.00%",
="2017.09.19","4.43%",
="2017.09.20","4.33%",
="2017.09.21","4.33%",
="2017.09.22","4.37%",
="2017.09.23","4.56%",
="2017.09.24","4.74%",
="2017.09.25","4.42%",
="2017.09.26","4.38%",
="2017.09.27","4.44%",
="2017.09.28","4.44%",
="2017.09.29","4.45%",
="2017.09.30","4.23%",

"其他操作系统2017.07.01~2017.09.30浏览量占比"
时间,浏览量占比
="2017.07.01","4.95%",
="2017.07.02","5.30%",
="2017.07.03","4.53%",
="2017.07.04","4.57%",
="2017.07.05","4.60%",
="2017.07.06","4.55%",
="2017.07.07","4.51%",
="2017.07.08","5.13%",
="2017.07.09","5.35%",
="2017.07.10","4.75%",
="2017.07.11","4.78%",
="2017.07.12","4.60%",
="2017.07.13","4.64%",
="2017.07.14","4.64%",
="2017.07.15","5.13%",
="2017.07.16","5.41%",
="2017.07.17","4.64%",
="2017.07.18","4.63%",
="2017.07.19","4.65%",
="2017.07.20","4.93%",
="2017.07.21","4.85%",
="2017.07.22","5.29%",
="2017.07.23","5.56%",
="2017.07.24","4.94%",
="2017.07.25","4.98%",
="2017.07.26","4.96%",
="2017.07.27","4.95%",
="2017.07.28","4.98%",
="2017.07.29","5.41%",
="2017.07.30","5.71%",
="2017.07.31","5.03%",
="2017.08.01","5.07%",
="2017.08.02","0.00%",
="2017.08.03","5.07%",
="2017.08.04","4.96%",
="2017.08.05","5.55%",
="2017.08.06","5.88%",
="2017.08.07","5.21%",
="2017.08.08","5.19%",
="2017.08.09","5.20%",
="2017.08.10","5.14%",
="2017.08.11","5.08%",
="2017.08.12","5.62%",
="2017.08.13","5.88%",
="2017.08.14","5.06%",
="2017.08.15","4.96%",
="2017.08.16","5.01%",
="2017.08.17","5.10%",
="2017.08.18","5.06%",
="2017.08.19","5.64%",
="2017.08.20","5.95%",
="2017.08.21","5.11%",
="2017.08.22","5.18%",
="2017.08.23","5.14%",
="2017.08.24","4.96%",
="2017.08.25","4.98%",
="2017.08.26","5.39%",
